Date,Close,High,Low,Open,Volume
04/10/2021,4300.459961,4355.509766,4278.939941,4348.839844,4307870000
05/10/2021,4345.720215,4369.22998,4309.870117,4309.870117,3902890000
06/10/2021,4363.549805,4365.569824,4290.490234,4319.569824,4009630000
07/10/2021,4399.759766,4429.970215,4383.72998,4383.72998,3843740000
08/10/2021,4391.339844,4412.02002,4386.220215,4406.509766,3280160000
11/10/2021,4361.189941,4415.879883,4360.589844,4385.439941,3281970000
12/10/2021,4350.649902,4374.890137,4342.089844,4368.310059,3558450000
13/10/2021,4363.799805,4372.870117,4329.919922,4358.009766,3620070000
14/10/2021,4438.259766,4439.72998,4386.75,4386.75,3598280000
15/10/2021,4471.370117,4475.819824,4447.689941,4447.689941,3819380000
18/10/2021,4486.459961,4488.75,4447.470215,4463.720215,3662010000
19/10/2021,4519.629883,4520.399902,4496.410156,4497.339844,3459130000
20/10/2021,4536.189941,4540.870117,4524.399902,4524.419922,3670760000
21/10/2021,4549.779785,4551.439941,4526.890137,4532.240234,3822330000
22/10/2021,4544.899902,4559.669922,4524,4546.120117,3758220000
25/10/2021,4566.47998,4572.620117,4537.359863,4553.689941,3899400000
26/10/2021,4574.790039,4598.529785,4569.169922,4578.689941,3879740000
27/10/2021,4551.680176,4584.569824,4551.660156,4580.220215,4226050000
28/10/2021,4596.419922,4597.549805,4562.839844,4562.839844,4132950000
29/10/2021,4605.379883,4608.080078,4567.589844,4572.870117,4510200000
01/11/2021,4613.669922,4620.339844,4595.060059,4610.620117,3971540000
02/11/2021,4630.649902,4635.149902,4613.339844,4613.339844,3975250000
03/11/2021,4660.569824,4663.459961,4621.189941,4630.649902,4319660000
04/11/2021,4680.060059,4683,4662.589844,4662.930176,4462300000
05/11/2021,4697.529785,4718.5,4681.319824,4699.259766,4467180000
08/11/2021,4701.700195,4714.919922,4694.390137,4701.47998,4269710000
09/11/2021,4685.25,4708.529785,4670.870117,4707.25,4117080000
10/11/2021,4646.709961,4684.850098,4630.859863,4670.259766,4503720000
11/11/2021,4649.27002,4664.549805,4648.310059,4659.390137,3926870000
12/11/2021,4682.850098,4688.470215,4650.77002,4655.240234,3728600000
15/11/2021,4682.799805,4697.419922,4672.859863,4689.299805,3488410000
16/11/2021,4700.899902,4714.950195,4679.419922,4679.419922,3972640000
17/11/2021,4688.669922,4701.5,4684.410156,4701.5,3969070000
18/11/2021,4704.540039,4708.799805,4672.779785,4700.720215,4226410000
